,TimeSpanInSec,Voltage_AC_Phase_2,Voltage_AC_Phase_1,Voltage_AC_Phase_3,Temperature_Powerstage,Voltage_DC_String_1,Voltage_DC_String_2,PowerReal_PAC_Sum,EnergyReal_WAC_Sum_Produced,Current_DC_String_1,Current_DC_String_2,Current_AC_Phase_1,Current_AC_Phase_3,Current_AC_Phase_2
2700,68,0,0,0,0,2.5,2.2,0,0,0,0,0,0,0
26100,82,0,0,0,0,6.6,6.4,0,0,0,0,0,0,0
28200,68,0,0,0,0,177.9,177.6,0,0,0,0,0,0,0
28500,263,0,0,0,0,206.1,205.8,0,0,0,0,0,0,0
28800,297,0,0,0,0,243.6,243.3,0,0,0,0,0,0,0
29100,302,0,0,0,0,262,261.7,0,0,0,0,0,0,0
29400,297,0,0,0,0,273.4,273.1,0,0,0,0,0,0,0
29700,302,0,0,0,0,274,273.7,0,0,0,0,0,0,0
30000,297,0,0,0,0,279.9,279.5,0,0,0,0,0,0,0
30300,297,229.1,230.2,229.4,29,261.5,259.7,144.589,2.764722,0.06,0.06,0.14,0.34,0.15
30600,302,232.6,232.5,232.4,30,234.6,228.6,146.456,4.125833,0.04,0.04,0.14,0.34,0.15
30900,297,231.8,232.7,231.3,31,237.5,231.1,148.317,4.2075,0.05,0.04,0.15,0.34,0.15
31200,302,231.8,231.9,232,32,238.2,230.8,148.435,4.57,0.05,0.05,0.15,0.34,0.15
31500,297,232,231.8,232,32,247,244.6,157.726,6.179167,0.09,0.09,0.17,0.35,0.16
31800,302,232,232.2,231.6,33,255.8,253.3,173.892,8.419722,0.14,0.13,0.2,0.37,0.18
32100,297,232.4,232.3,232.4,34,259.9,257.2,185.898,9.7275,0.18,0.17,0.22,0.39,0.19
32400,302,232.2,233.3,233.4,34,258.7,256.4,184.137,9.350278,0.16,0.16,0.21,0.39,0.19
32700,297,232,233.9,233.4,35,258.2,254.5,179.566,9.1425,0.16,0.16,0.2,0.39,0.18
33000,302,232.1,233.7,233,35,265.6,263.4,205.01,13.011667,0.24,0.24,0.24,0.42,0.22
33300,297,231.9,233.9,233.7,36,270.7,268.9,242.584,17.605278,0.34,0.34,0.29,0.46,0.29
33600,297,231.2,233.6,234,36,271.8,270,251.76,18.901667,0.37,0.36,0.3,0.48,0.3
